pred,actual,similarity
共妑擛母森𡆫𠬠欺,共妑漂母森𡆫𠬠欺,0.7777777777777778
㐌空朱﨤頭頭辰催,㐌空朱﨤𣇜頭辰傕,0.6666666666666666
𠬠畨朱塊𠦳㝵庒涓,𠬠畨朱塊𠦳㝵庒涓,1.0
油朱奴𤯩爫之成身,油朱奴𤯩爫之成身,1.0
像尼本寔𫯳娘𡎢低,像尼本寔𫯳娘𡎢低,1.0
月娥貞節共朋𠊚𠸗,月娥貞節共朋𠊚𠸗,1.0
雲仙魚謹𢚸強生𪟽,雲仙魚謹𢚸強生𪟽,1.0
埃匕訴別空傷包徐,埃匕訴別空傷包徐,1.0
䜹浪𠊚㐌恩餒闭起,踈浪𠊚㐌恩餒闭迡,0.6
唉群預色朱公󰑼岐,唉群顔色宋公󰑼𣃣,0.45454545454545453
仍啉呂浽渃𡽫朱耒,仍啉呂浽渃𡽫朱耒,1.0
𢪀𦋦買別武公害𨉓,𢪀𦋦買別武公害𨉓,1.0
𡟱𫯳𡢐拱森𡆫𠬠尼,𡟱𫯳𡢐拱森𡆫𠬠尼,1.0
𠬠瓢𡗶坦盃󰠐埃咍,𠬠瓢𡗶坦盃󰠐埃咍,1.0
㝵戈𣎃論㐌苔𠀧𢆥,㝵戈𣎃論㐌苔𠀧𢆥,1.0
淡仙課畧歇𠁀𦋦魔,淡仙課畧歇𠁀𦋦魔,1.0
矯公𦖑呐事情󰝸盃,矯公𦖑呐事情庒盃,0.7777777777777778
英㛪畧㐌結願󰠃饒,英㛪畧㐌結願󰠃饒,1.0
疎𨀈拱筭料欧𠬠𨉓,陳𦋦󰇾筆𡎢欧𠬠𨉓,0.23076923076923078
𧵑尼底吏朱吒养𫅷,𧵑尼底吏朱吒养𫅷,1.0
𠫾𦖑𢈱󰀃吏奔墫尋,𠫾𦖑𢈱呐吏奔墫尋,0.7777777777777778
呐𦋦𣅶畧娘源仍󰑼,呐𦋦𣅶畧根源仍󰑼,0.7777777777777778
﨤饒庙宇調𠫾𠬠吝,﨤饒庙宇調𠫾𠬠吝,1.0
六公欺𧘇買信事情,六公欺𧘇買信事情,1.0
𠊚冲幅像𠸜󰑼雲仙,𠊚冲幅像𠸜󰑼雲仙,1.0
判浪朕想娘群於畨,判浪朕想娘群於畨,1.0
𠬠勾節行沛𥱬𠓨𢚸,𠬠勾節行沛𥱬𠓨𢚸,1.0
𠊛匕埃拱立身貝尼,𠊛匕埃拱立身貝尼,1.0
小童畧㐌爲𨉓托寃,小童畧㐌爲𨉓托寃,1.0
固𤽗骨突法仙𨔍𨓡,固𤽗骨突法仙𨔍𨓡,1.0
媄昆碎細𦋦侯状元,媄昆碎細𦋦侯状元,1.0
昆渚拮挭群仍𭛣之,昆渚拮挭群󰀡𭛣之,0.7777777777777778
云仙群唉囬細咏茄,云仙群唉囬鄕咏茄,0.7777777777777778
𠓨茄户武探皮雲仙,𠓨茄户武探皮雲仙,1.0
𧡊王子直共哭雲仙,𧡊王子直共󰑼雲仙,0.7777777777777778
本渚別代固欺𧡊𢚸,本渚別氏固欺覔𢚸,0.6
畧它󰝡𠺙庒苓辰傕,畧它󰝡𠺙庒苓辰傕,1.0
𨉓尼𧯶易方芇別󰦓,𨉓尼𧯶易方芇別󰦓,1.0
六翁𫢩㐌𡏦昔於廊,六公𫢩㐌𡏦营於廊,0.6
㐌咍𢩾渃更𨃴𧗱盘,㐌咍𢩾渃吏𨆢𧗱𦓿,0.45454545454545453
傷𢚸渃漢沛𦋦科𨉓,傷𢚸渃漢沛𦋦料𨉓,0.7777777777777778
埋󰦓侈﨤𠬠払漢明,埋󰦓侈﨤𠬠払漢明,1.0
𬂙澄京他㐌侯細尼,𬂙澄京地㐌候細尼,0.6
同閉󰋇淡𠫾𠓨細尼,同䦕󰋇淡𠫾𠓨細尼,0.7777777777777778
𠬠𨉓冲𡶀別𦋦㘧芇,𠬠𨉓冲𡶀別𦋦𡉦芇,0.7777777777777778
嗔他罪畧買𢧚仍哭,嗔他罪畧買𢧚仍󰑼,0.7777777777777778
塘𧗱闭隘指𦋦朱𨉓,塘𧗱䦕隘指𦋦朱𨉓,0.7777777777777778
娘浪英唉囬朝奏𨖲,娘浪英唉囬朝奏𨖲,1.0
寔𡗶生状𢩾冲渃茄,寔𡗶生状𢩾冲渃茄,1.0
唉吀朱汝𨅸卢買中,唉吀朱汝𡀯卢買神,0.6
丿󰦓裴儉𠬠欺𧗱茄,丿󰦓裴儉𠬠欺𧗱茄,1.0
𦋦𠫾皮𧡊𨁪蹎𨀈𠓨,𦋦𠫾皮𧡊𨁪蹎𨀈𠓨,1.0
月娥欺意哭和如湄,月娥欺意哭和如湄,1.0
武公䀡𧡊𢚸強虎𤽗,武公䀡𧡊𢚸強虎𤽗,1.0
𠄩些𠓨妬𨑮𢬣卞𠶆,𠄩些𠓨妬𢬥𢬣卞𡎢,0.6
害仙𡢐闭謀尼買衝,害仙𡢐用謀尼買衝,0.7777777777777778
群卢𠄩𡦂思情霜衝,群卢𠄩𡦂恩情渚衝,0.6
㐌仃𠬠分𠊚紅𠚢絲,㐌仃𠬠分侍紅無緣,0.45454545454545453
唉安胣𥘷麻戈渃𠊚,唉安胣𥘷麻戈渃𠊚,1.0
姅店盘論塘𠓨注𦋦,姅店盘論塘𠓨𡉦𦋦,0.7777777777777778
嗔朱𠬠將饒󰠃提兵,嗔朱𠬠將饒󰠃提兵,1.0
加𠓨朱倍热心買平,加𠓨朱倍热心買平,1.0
朱碎細妬答句恩情,朱碎細妬答句恩情,1.0
別𡆫傕固匕程爫之,別𡆫催固上程爫之,0.6
扵󰦓庒別洛淡細低,扵兠庒別洛淶細低,0.6
丿󰦓仙直𠬠森調衝,丿󰦓仙直𠬠徐調衝,0.7777777777777778
朱㛪𦋦和姉妯󰡫芇,朱㛪𦋦𬑉姉妯󰡫芇,0.7777777777777778
𦋦𠫾買邒过㝵吏𤴬,𦋦𠫾買邒𨑮㝵吏𤴬,0.7777777777777778
吒𨑮𠬠𩙌情塘所名,𠀧𨑮𠬠歳惜塘功名,0.3333333333333333
泊群𠄼𭃂𢭂郎朱柴,泊群𠄼𭃂𢭂郎朱柴,1.0
買𨕭塊𣷷吏𠓨冲𧯄,買𨕭塊𣷷吏𠓨冲𧯄,1.0
更添符泣𠸗𫢩埃皮,吏添符注𠸗𫢩埃皮,0.6
侈𦖑病馭於󰦓細茄,侈𦖑岳馭於󰦓細茄,0.7777777777777778
芇埃併寔推欣爫之,芇埃併寔推欣爫之,1.0
故牢𢧚浽昆𠫾𠬠𠇮,故牢𢧚浽昆𠫾𠬠𠇮,1.0
𣋚戈固𧡊𠊚䘮庒󰑼,󰉺戈固𧡊𠊚䘮庒󰑼,0.7777777777777778
悶浪朱鄧𤯭拱昆些,悶浪朱鄧𤯭拱昆些,1.0
爫斎𬙞𩛷論共雲仙,爫斎𬙞𩛷論共雲仙,1.0
月娥𢖵浽𩄲絲庒𧷺,月娥𢖵浽𩄲絲庒𧷺,1.0
病箕油呵𠇮尼半𠫾,病箕油呵𠇮尼半𠫾,1.0
𤽗𠓨󰘉󱖺麻𢭂朱柴,𤽗𠓨󰘉𫋻麻𢭂朱柴,0.7777777777777778
芇咍分泊如袄󰡫尼,芇咍分泊如𪿙󰡫尼,0.7777777777777778
共軍侍女𠬠排調方,共軍侍女𠬠排調卢,0.7777777777777778
哙戈𠸜户𠬠欺朱詳,哙戈𠸜户𠬠欺朱詳,1.0
沛朱𠬠法底防𫉚貞,沛朱𠬠法底防𫉚身,0.7777777777777778
𢪀浪渃沚𫢩朝𦛌𤴬,𢪀浪渃沚𠃩朝𦛌𤴬,0.7777777777777778
沛尋柴准渚專朱󰉨,沛尋柴法渚專朱󰉨,0.7777777777777778
調傷户陸㤕車冲𢚸,調傷户六㤕車冲𢚸,0.7777777777777778
𫢩它﨤𧯶匪崩約闰,𫢩它及﨤鄧匪願約𬇚,0.4166666666666667
爫𡢽庒鄧吏私怨󰠐,爫碎庒鄧吏私怨󰠐,0.7777777777777778
𠊛荘役娘󰝡𠓨底低,𠊛芇𤜯扒󰝡𠓨底低,0.45454545454545453
芇报傷畧事情仍之,芇根原畧事情仍之,0.6
呂󰑼些沛蹺󰠃爫之,呂󰑼些沛蹺󰠃爫之,1.0
哙探屡奴群仃尼芇,哙探屡奴群仃尼芇,1.0
雪群盘泊𡗶𣃣𤎜𦋦,当群盘泊𡗶𣃣𤎜𦋦,0.7777777777777778
昆芒疾病咹𦣰尼芇,昆芒疾病咹𦣰尼芇,1.0
名碎㐌𤎜㗂柴屯賖,名碎㐌𤎜㗂柴屯賖,1.0
云仙䀡𧡊卞𪟽冲𢚸,云仙䀡𧡊卞𪟽冲𢚸,1.0
小童𧼋細𨅸𣃣𠬠边,小童𧼋細𨅸𣃣𠬠边,1.0
爲蒸莫𮥷買𦋦世尼,爲蒸莫𮥷買𦋦世尼,1.0
󰉺易供𠬠茄朱盃,󰉹㝵𤋾供𠬠茄朱盃,0.5
嗔饒拱妾𡊰恩朱払,嗔蹺拱妾𡊰恩朱払,0.7777777777777778
丿𦖑𠳒呐𣈗󰉨吏傷,丿𦖑𠳒呐𣈗󰉨吏傷,1.0
﨤柴爫茦𠸜浪𧖱昂,﨤柴爫茦𠸜浪趙昂,0.7777777777777778
悶𦋦朱塊埃𢴿些𠫾,悶𦋦朱塊埃𢴿些𠫾,1.0
㝵𡢐別固﨤堆庒哭,㝵𡢐別固﨤堆庒󰑼,0.7777777777777778
﨤饒𫢩㐌匪囬約沕,﨤饒𫢩㐌匪囬約𬇚,0.7777777777777778
𠄩𨑮𦊚討庒朋𠁀𠸗,𠄩𨑮𦊚討庒朋𠁀𠸗,1.0
𤯩牢北丕𠬠鉄麻催,𤯩牢托丕𠬠𫯳麻傕,0.45454545454545453
雲仙𠓨󰦓尊師󰑾𧗱,雲仙𠓨謝尊師𦋦𧗱,0.6
云仙󰠃妸小童移蹎,云仙󰠃妸小童移蹎,1.0
昆它牢節群吹理芇,昆它守節群吹理芇,0.7777777777777778
小童細畧尼󰠃貝些,小童細畧尼󰠃貝些,1.0
月娥𥙩寔傳𨉓疎戈,月娥𥙩寔傳𨉓疎戈,1.0
𬌓𢚸娥女爲払麻𨖅,𬌓𢚸娥女爲払麻迎,0.7777777777777778
𠄩払調沛𠬠辰𠇮亡,𠄩払調沛𠬠辰𠇮亡,1.0
雲仙𠓨𥛉嗔𠫾應塲,雲仙𠓨𥛉嗔𠫾應場,0.7777777777777778
𠊚苓辰𠅍些群爫之,𠊚苓辰𠅍些群爫之,1.0
武公䀡𧡊𢚸預同后,武公䀡𧡊𢚸煩悶台,0.45454545454545453
报直渚情故尼爫苦,根由渚𤑟故尼爫牢,0.3333333333333333
芇吒固悶押情之昆,芇吒固悶押情之昆,1.0
身尼芇固恪之𣘃湄,身尼芇固恪之𣘃㵢,0.7777777777777778
恩箕㐌買𧵑尼𢭂郎,恩箕㐌買𧵑尼𢭂朗,0.7777777777777778
情箕㐌﨤理芇爫咍,情箕㐌﨤理芇爫𢗃,0.7777777777777778
𨅸𫢩些㐌除𣳔娄󰑼,𣈜󰅒些㐌除𣳔娄󰑼,0.6
㐌仃𠬠浽爫蹺坦𠊚,㐌仃𠬠浽爫蹺坦𠊚,1.0
空茄渚別𠓨󰦓悲除,空茄渚別𠓨󰠲悲除,0.7777777777777778
𦖑昆嘆阻㤕車𢚸鐄,𦖑昆嘆咀㤕車𢚸鐄,0.7777777777777778
碎嗔迻細東城辰催,碎嗔迻細東城辰傕,0.7777777777777778
昆𠫾細妬𢭂戈书尼,昆𠫾細妬𢭂戈书尼,1.0
矯公䀡𧡊𢚸強生𪟽,矯公䀡𧡊𢚸強生𪟽,1.0
礼迻呂吏𧗱茄太師,礼迻呂吏𧗱茄太師,1.0
尼又迻老𢩮𢬣𧗱茄,尼又迻老𢩮𢬣𧗱茄,1.0
直󰠃裴儉群吝𠫾𥹰,直󰠃裴儉群吝𠫾𥹰,1.0
咍󰦓格群𥱬像尼,咍󰦓𬋩格群𥱬像尼,0.875
朱些阻吏𡢐尼𤤰󰝺,朱些阻吏𡢐尼料󰝺,0.7777777777777778
阻𠓨呐傳󰠃娘月娥,阻𠓨呐傳󰠃娘月娥,1.0
各官埃乃𧡊麻調傷,各官埃乃𧡊麻調傷,1.0
﨤昆知府鄕生󰑼払,﨤昆知府鄧生󰑼払,0.7777777777777778
悲除別劍尼芇𦝄𨉓,悲除別劍尼芇投𨉓,0.7777777777777778
𨑮𠄩𣷷渃迻𨉓𠓨󰦓,𨑮𠄩𣷷渃迻𨉓𠓨󰦓,1.0
吏𧵆連哙事情買咍,吏𧵆連哙事情買咍,1.0
𧵑尼爫󰒂𡊰𠸗恩払,𧵑尼爫󰒂𡊰𠸗恩払,1.0
戈䀡󰘚倍䜹空㐌仃,戈䀡󰘚倍踈兮㐌仃,0.6
𠓨厨些仕論盘󰠃饒,𠓨厨些仕論盘󰠃饒,1.0
爫之典浽月娥貢胡,爫之典浽月娥貢胡,1.0
󰉨𢜠𠄩卢𠬠茄𬏝宮,󰉨𢜠𠄩户𠬠茄成身,0.45454545454545453
󰝡兵阻吏朝敦𠬠皮,󰝡兵阻吏朝𰙔𠬠皮,0.7777777777777778
雲仙𧗱𠬠𣎃迡細尼,雲仙𧗱𠬠𣎃迡細尼,1.0
邒昆呂女袄𦣰朱耒,鄧昆呂女袄𩚵朱耒,0.6
呐冲𠸜户像尼些𦖑,呐冲𠸜户像尼些𦖑,1.0
爫之𢧚浽麻蒙細䟢,少之𢧚浽麻蒙細隊,0.6
月娥𥙩筆題󰑼排詩,月娥𥙩筆題󰑼排詩,1.0
之用哙吏理芇朱明,之朋哙吏理芇朱明,0.7777777777777778
𠲖𠊚群𢖵仍㝵冲𡎟,𠲖𠊚群𢖵仍㝵冲𡎟,1.0
祭耒吏𠳨𭛣𠸗於茄,祭耒吏𠳨𭛣𠸗於茄,1.0
細尼大麗𡗶它𤑍東,細尼大鹿𡗶它𤑍東,0.7777777777777778
庒咍𠊚󰡎馬尼󰑼埃,庒咍𠊚󰡎馬尼󰑼埃,1.0
陸王𠄩户都差𠬠欺,陸王𠄩户都芸𠬠欺,0.7777777777777778
舘浪𠫾塊知村𧡊𠳒,舘浪𠫾塊鄕村𧡊𠳒,0.7777777777777778
別牢﨤世云仙盟尼,別牢﨤特云仙𣇜尼,0.6
牢空結伴麻𠫾𠓨場,牢空結伴麻𠫾𠓨塲,0.7777777777777778
埃咍昆𬙞連𠁀共吒,埃咍昆𤯩𨕭𠁀共吒,0.6
𦖑雲仙𬙞﨤朝公名,𦖑雲仙𤯩﨤朝公名,0.7777777777777778
矯公差几迻回𧵑朱,矯公差几迻回𧵑朱,1.0
朱𢧚父子𠄩塘󰘌饒,朱𢧚父子𠄩塘隔饒,0.7777777777777778
云仙䜹訴每塘𧵆賖,云仙䜹訴每塘𧵆賖,1.0
𭛣之麻細𡧲固花些,𭛣之麻細𡧲園花些,0.7777777777777778
拠蹺冲礼文公麻爫,拠蹺冲礼文公麻爫,1.0
排󰝺𠬠斫戈情朱衝,排󰝺𠬠斫弋情朱衝,0.7777777777777778
𤴬之𢧚浽渃尼呵傷,𤴬之𢧚浽渃尼呵傷,1.0
状元䀡𧡊𠲶唭𠬠欺,状元䀡𧡊𠲶唭𠬠欺,1.0
扑浪拱扵准尼𬙞残,扑浪拱扵准尼𨀈戈,0.6
自低買歇細𨆢准芇,自低買歇細𨆢准芇,1.0
冲𢚸它𢢆拱爲󰦓壻,冲𢚸它𢢆拱爲虎台,0.6
𠬠𢈱嗔汝𠦳鐄庒差,𠬠𢈱嗔汝𠦳鐄󰝸差,0.7777777777777778
𠬠𠇮芒皮麻𠫾𭛣之,𠬠𠇮芒笈麻𠫾役之,0.6
󰝡朱󱋓茦𬑉連𤎜𦋦,󰝡朱󱋓茦𬑉連𤎜𦋦,1.0
少之昆𡛔麻迻細娘,少之昆𡛔麻迻細娘,1.0
如尼󰑼𬑉矯公󰑼連,細尼𦋦𬑉矯公哭連,0.5
差軍户𧗱逴娘月娥,差軍户𧗱逴娘月娥,1.0
調排𠸜户𠬠欺買詳,調排𠸜户𠬠欺買詳,1.0
𣋚埋𧡊󰘚朱虧𬌓𢚸,𣋚埋𧡊󰘚朱虧𬌓𢚸,1.0
倍鐄跪𥛉嗔𨆢𦋦𧗱,倍鐄跪𥛉嗔𨆢𦋦𧗱,1.0
𠬠𠇮病重苓行牢衝,𠬠𠇮病重步行牢衝,0.7777777777777778
火魔䀡𧡊𠬠除調散,火魔䀡𧡊𠬠除調散,1.0
覩芇麻敢乱凌𠓨低,繩芇麻敢礼凌𠓨低,0.6
妾吀爫𠬠排书母群,妾嗔爫𠬠排书謝辞,0.45454545454545453
𤴬之細浽筭皮渚寅,𤴬之細浽筭皮渚專,0.7777777777777778
沁船𢧚浽𨉓𦋦󰡫尼,沉船𢧚浽𨉓𦋦󰡫尼,0.7777777777777778
調𠓨𠬠舘盃唭𢀨迎,調𠓨𠬠舘盃唭語迎,0.7777777777777778
月娥娘意罪欺㐌行,月娥娘意罪欺㐌仃,0.7777777777777778
空披挭𡧲塘芇咍,欺空𢭮挭𡧲塘芇咍,0.6666666666666666
柴盘𠬠𭛣科期群賖,柴盘𠬠𭛣科期群賖,1.0
塘賖𠦳淡嗔迻𠬠𢈱,塘賖𠦳淡嗔迻𠬠𢈱,1.0
朱柴達卦𠬠欺買詳,朱柴達卦𠬠欺買詳,1.0
昆它𢧚𡦂朱蓬󰠃庒,昆它𢧚𡦂䘮蓬󰠃庒,0.7777777777777778
徒𦋦准𫇰尋柴云仙,徒𦋦准𫇰尋柴云仙,1.0
丿󰦓㐌細𧵆沔哭江,丿󰦓㐌細𧵆沔秦江,0.7777777777777778
㐌通天胣吏咍役𠁀,㐌通天地吏咍𭛣𠁀,0.6
哙埃嘆哭扵冲車尼,哙埃嘆哭扵冲車尼,1.0
金蓮󰡫𥙩爫娘月娥,金蓮󰡫𥙩爫娘月娥,1.0
六公𠳐令細尼昔前,六公𠳐令細尼营前,0.7777777777777778
枚𠊛朱塊劳刀貝尼,枚𠊛朱塊劳刀貝尼,1.0
𣷮鐄固別役尼朱些,𣷮鐄固別役尼朱些,1.0
𠇮𠫾㐌痗𣳔珠添油,𠇮𠫾㐌痗𣳔珠添油,1.0
低它併特𠬠塘叱咍,低它併特𠬠塘叱咍,1.0
嗔吝細畧尋柴茦湯,嗔吝細畧尋柴茦湯,1.0
庒󰀉君子圭鄕尼芇,󰝸咍君子圭鄕尼芇,0.6
󰒺芒幅像𠬠除𦋦𠫾,󰒺芒幅像𠬠除𦋦𠫾,1.0
冲𨉓林䋦㐌卢吏愁,冲𨉓𤾓䋦㐌卢吏愁,0.7777777777777778
蜂戈𢖵吏別包饒吝,蜂戈𧊉吏別包饒吝,0.7777777777777778
月娥昆呵󰝡迻𠊚𥆾,月娥昆呵󰝡迻𠊚𥆾,1.0
情林庒論朱隊字𢧚,情麻庒論朱陳字𢧚,0.6
妾願𠬠𬌓𢚸𣦍買払,妾願𠬠𬌓𢚸𣦍買払,1.0
𠿯匕吏𥄭𠓨尼圣堂,𠿯匕吏𥄭𠓨尼圣堂,1.0
庒咍冲胣併細𣛟之,庒咍冲胣徘徊𡀯之,0.45454545454545453
漢明𣈙特預拱雲仙,漢明𣈙特預掑雲仙,0.7777777777777778
𦊚𠊛𡎢吏𠬠𣳔爫詩,𦊚𠊛𡎢吏𠬠𣳔爫詩,1.0
漢明蹺哙事情𠬠欺,漢明蹺哙事情𠬠欺,1.0
𤜯冲茄渃㐌仃朱𤽗,役冲茄渃㐌仃朱𤽗,0.7777777777777778
防𡢐朱塊不卒𢚸饒,防𡢐朱塊不平𢚸饒,0.7777777777777778
自低朱細圭茄群𥹰,自低朱細圭茄群𥹰,1.0
冲茄朱細培廊調傷,冲茄朱細𡌽廊調傷,0.7777777777777778
武公茄扵𧵆塘低庒,武公茄扵𧵆塘低庒,1.0
直󰠃歆儉合麻迻仙,直󰠃歆儉合麻迻仙,1.0
󰡫冲經史固金󰠃庒,󰡫冲經史固全󰠃庒,0.7777777777777778
朱官𦋦逴𠓨拱边凱,朱官𦋦逴𠓨掑边凱,0.7777777777777778
小童𡥵於󰦓麻細低,小童𡥵於󰦓麻細低,1.0
本碎買曳𠬠吝嗔容,本碎買曳𠬠吝嗔容,1.0
雲仙𡎢畧茄茦咀嘆,雲仙𡎢畧茄求咀嘆,0.7777777777777778
󰘚𥆾𧡊伴吃嘲浪英,󰘚𥆾𧡊伴𠲶嘲浪英,0.7777777777777778
𠬠彙巾󰺔油匕呵傷,𠬠彙巾泊油匕呵傷,0.7777777777777778
云仙包𦬑𢚸芇配波,云仙包𦬑𢚸芇配波,1.0
逴娘迻細𣦎戈東城,逴娘迻細𣦎戈東城,1.0
闭书𠬠幅呌󰠃云仙,曰书𠬠幅吲󰠃云仙,0.6
𠲖欺塘詫理芇別󰦓,𠲖欺塘詫理芇別󰦓,1.0
嗔迻𠬠物底扲爫信,嗔迻𠬠物底扲爫信,1.0
共饒𢴿𢩮調連阻𦋦,共饒𢴿𢩮調連阻𦋦,1.0
吀迻細妬畧𡢐朱𧷺,吀迻細妬畧𡢐朱𧷺,1.0
舘浪唭几不才𠁀霜,舘浪唭几不才𠁀𠸗,0.7777777777777778
𡆫共昆老𠬠茄朱盃,𡆫共昆老𠬠茄朱盃,1.0
𠬠文𠄩册麻世交車,𠬠交𠄩册麻𠀧爻重,0.45454545454545453
𧡊𠄩翁役哙𦋦迍塘,𧡊𠄩翁𤜯𧼋𦋦迍塘,0.6
󰠃𤽗骨突打朱最㝵,󰠃𤽗骨突打朱最㝵,1.0
𤾓𠄼朱𣘃𢚸崙󰠃払,𤾓𠄼朱援𢚸崙󰠃払,0.7777777777777778
耒浪碎庒𢭂郎朱柴,耒辰碎仕𢭂郎朱柴,0.6
咍󰑼㐌莫𥙩恬之低,咍󰑼㐌莫𥙩恬之低,1.0
媄昆些吏杜𡗶武公,媄昆些吏杜承武公,0.7777777777777778
庒台作伴科尼󰡫芇,庒台眾伴科尼󰡫芇,0.7777777777777778
